idjadwal,idruang,idkelas,tgljadwal,waktumulai,waktuselesai,statusperkuliahan
260075,T-401,197784,2019-04-13,14:40,15:30,1
260074,T-401,197784,2019-04-10,17:00,19:00,1
260076,T-401,197784,2019-06-19,17:00,19:00,0
260071,T-401,197784,2019-03-20,17:00,19:00,1
260070,T-401,197784,2019-03-13,17:00,19:00,1
260069,T-401,197784,2019-03-06,17:00,19:00,1
260072,T-401,197784,2019-03-27,17:00,19:00,1
260081,T-401,197784,2019-05-29,17:00,19:00,0
260080,T-401,197784,2019-05-22,17:00,19:00,0
260079,T-401,197784,2019-05-15,17:00,19:00,0
260078,T-401,197784,2019-05-08,17:00,19:00,0
260077,T-401,197784,2019-06-26,17:00,19:00,0
260073,T-401,197784,2019-04-13,16:00,17:00,1
260047,T-401,197784,2019-04-24,18:30,20:20,1
256684,K-405,197780,2019-04-16,17:00,18:40,1
256683,K-405,197780,2019-04-09,17:00,18:40,1
256685,K-405,197780,2019-04-23,18:30,20:20,1
256682,K-403,197780,2019-04-02,17:00,18:40,1
256680,K-302,197780,2019-03-19,17:00,18:40,1
256678,T-206,197780,2019-03-05,17:00,18:40,1
256681,K-302,197780,2019-03-26,17:00,18:40,1
256679,T-206,197780,2019-03-12,17:00,18:40,1
265938,K-301,197823,2019-04-18,13:00,14:40,1
265937,K-405,197823,2019-04-11,13:00,14:40,1
265936,K-405,197823,2019-04-04,12:30,14:10,1
265932,K-404,197823,2019-03-27,11:00,13:30,1
264182,T-401,197823,2019-04-25,13:00,14:40,1
265934,K-405,197823,2019-03-21,13:00,14:40,1
265933,K-405,197823,2019-03-14,13:00,14:40,1
265935,K-405,197823,2019-03-28,13:00,14:40,1
271958,K-401,197782,2019-03-19,17:00,18:40,1
271970,K-401,197782,2019-06-04,17:00,18:40,0
271969,K-401,197782,2019-05-28,17:00,18:40,0
271968,K-401,197782,2019-05-21,17:00,18:40,0
271967,K-401,197782,2019-05-14,17:00,18:40,0
271966,K-401,197782,2019-05-07,17:00,18:40,0
271965,K-401,197782,2019-06-18,17:00,18:40,0
271964,K-401,197782,2019-06-11,17:00,18:40,0
271963,K-401,197782,2019-04-23,18:30,20:20,1
271962,K-401,197782,2019-04-16,17:00,18:40,2
271961,K-401,197782,2019-04-09,17:00,18:40,2
271960,K-401,197782,2019-04-02,17:00,18:40,0
271959,K-401,197782,2019-03-26,17:00,18:40,1
271957,K-401,197782,2019-03-12,17:00,18:40,0
